Drop #;Time (s);Height (m);Velocity (m/s)
1;0;47,825149;-1,007574525
1;0,066666694;47,825149;-2,166285229
1;0,133333388;47,58333102;-3,123481028
1;0,200000082;47,34151303;-3,291410115
1;0,266666776;47,09969504;-2,888380305
1;0,33333347;47,01908905;-3,255176453
1;0,400000164;46,69666507;-4,119993293
1;0,466666858;46,45484708;-4,859831024
1;0,535000219;46,05181711;-5,690829683
1;0,601666914;45,64878713;-5,928410518
1;0,668333608;45,24575716;-5,940508891
1;0,735000302;44,84272718;-5,743174793
1;0,801666996;44,5203032;-6,146204603
1;0,86833369;44,03666723;-6,784335136
1;0,935000384;43,63363726;-7,623980573
1;1,001667078;42,9887893;-8,060596201
1;1,068333772;42,50515333;-7,758323844
1;1,135000466;42,02151735;-8,295696923
1;1,20166716;41,37666939;-8,597969281
1;1,268333854;40,89303342;-9,202513996
1;1,335000548;40,16757947;-10,00857362
1;1,401667242;39,52273151;-10,27726016
1;1,468333936;38,79727755;-10,44518924
1;1,53500063;38,0718236;-9,867122974
1;1,601667324;37,50758163;-9,677776555
1;1,668334018;36,86273367;-10,48397554
1;1,736667379;36,05667372;-10,91609422
1;1,803334073;35,33121976;-10,61616262
1;1,870000767;34,6863718;-10,87386134
1;1,936667461;33,88031185;-11,18407723
1;2,003334155;33,23546389;-11,99013685
1;2,070000849;32,26819195;-12,56109575
1;2,136667543;31,462132;-11,8893794
1;2,203334237;30,73667804;-11,8893794
1;2,270000931;29,93061809;-12,52750993
1;2,336667625;29,04395215;-13,04210688
1;2,403334319;28,1572862;-13,08776824
1;2,470001013;27,35122625;-13,71259623
1;2,536665612;26,27743221;-13,66418782
1;2,603332279;25,52022589;-13,47841193
1;2,669998946;24,51061747;-13,59274061
1;2,736665612;23,66927712;-13,24668815
1;2,803332279;22,75639079;-13,13942483
1;2,869998946;21,95033988;-13,45479431
1;2,936665612;20,98307878;-14,05612077
1;3,004998946;20,01581768;-14,354871
1;3,071665612;19,04855658;-14,75372929
1;3,138332279;18,16190057;-16,44814143
1;3,204998946;16,7703408;-17,00886391
1;3,271665612;15,76067602;-15,94304957
1;3,338332279;14,75104727;-15,46282721
2;0;47,09628268;-0,329241564
2;0,066666667;47,09628268;-0,730024835
2;0,135;47,0106886;-1,095705864
2;0,201666667;46,95362589;-1,552879316
2;0,268333333;46,8109691;-2,150210731
2;0,335;46,66831231;-2,746143189
2;0,401666667;46,44006145;-3,281106147
2;0,468333333;46,21181058;-3,55453166
2;0,535;45,98355972;-4,03005429
2;0,601666667;45,66971479;-4,469912723
2;0,668333333;45,38440121;-4,885995024
2;0,735;45,04202491;-5,563614772
2;0,801666667;44,61405455;-5,84892835
2;0,868333333;44,24314689;-5,920256744
2;0,935;43,84370789;-6,229346454
2;1,001666667;43,44426888;-6,930742333
2;1,068333333;42,90217308;-7,418153029
2;1,135;42,41714;-7,430041095
2;1,201666667;41,93210691;-7,662326994
2;1,268333333;41,41854247;-8,19236695
2;1,335;40,81938396;-8,506534727
2;1,403333333;40,27728816;-8,883399848
2;1,47;39,62106693;-9,247499041
2;1,536666667;39,02190842;-9,36118585
2;1,603333333;38,39421855;-9,748213916
2;1,67;37,73799732;-10,30695301
2;1,736666667;36,99618201;-10,54471432
2;1,803333333;36,31142943;-10,5415699
2;1,87;35,59814548;-10,72040666
2;1,936666667;34,94192425;-11,60037817
2;2,003333333;34,06499877;-12,58197463
2;2,07;33,12811762;-11,85198322
2;2,136666667;32,50353018;-11,26313515
2;2,203333333;31,72279589;-11,77607562
2;2,27;30,86398816;-11,61342264
2;2,336666667;30,1613273;-11,38570847
2;2,403333333;29,45866643;-12,45084926
2;2,47;28,44371185;-12,81575768
2;2,536666667;27,66297755;-12,12390387
2;2,605;26,88224326;-12,25148908
2;2,671666667;26,02343553;-12,62016916
2;2,738333333;25,16462781;-12,67802351
2;2,805;24,38389351;-13,33754421
2;2,871666667;23,36893893;-13,76044196
2;2,938333333;22,5101312;-13,69538076
2;3,005;21,57325005;-13,95562553
2;3,071666667;20,63636889;-14,02068672
2;3,138333333;19,69948774;-14,14322076
2;3,205;18,76260659;-14,39011438
2;3,271666667;17,82572543;-15,13137209
2;3,338333333;16,67283601;-14,98486297
2;3,405;15,79143498;-14,36003289
2;3,471666667;14,85316937;-14,73205652
2;3,538333333;13,77274231;-14,37963124
2;3,605;12,8344767;-12,85376495
2;3,671666667;12,15210172;-11,4203036
